time	V(n002)	I(C1)
1.624599545262754e+00	4.015050e+00	9.849496e-05
1.629482357762754e+00	4.019848e+00	9.801520e-05
1.634365170262754e+00	4.024622e+00	9.753777e-05
1.639247982762754e+00	4.029373e+00	9.706267e-05
1.644130795262754e+00	4.034101e+00	9.658989e-05
1.649013607762754e+00	4.038806e+00	9.611940e-05
1.653896420262754e+00	4.043488e+00	9.565122e-05
1.658779232762754e+00	4.048147e+00	9.518531e-05
1.663662045262754e+00	4.052783e+00	9.472167e-05
1.668544857762754e+00	4.057397e+00	9.426029e-05
1.673427670262754e+00	4.061988e+00	9.380115e-05
1.678310482762754e+00	4.066557e+00	9.334425e-05
1.683193295262754e+00	4.071104e+00	9.288958e-05
1.688076107762754e+00	4.075629e+00	9.243712e-05
1.692958920262754e+00	4.080132e+00	9.198687e-05
1.697841732762754e+00	4.084612e+00	9.153881e-05
1.702724545262754e+00	4.089071e+00	9.109293e-05
1.707607357762754e+00	4.093508e+00	9.064922e-05
1.712490170262754e+00	4.097923e+00	9.020768e-05
1.717372982762754e+00	4.102317e+00	8.976828e-05
1.722255795262754e+00	4.106690e+00	8.933103e-05
1.727138607762754e+00	4.111041e+00	8.889590e-05
1.732021420262754e+00	4.115371e+00	8.846290e-05
1.736904232762754e+00	4.119680e+00	8.803200e-05
1.741787045262754e+00	4.123968e+00	8.760321e-05
1.746669857762754e+00	4.128235e+00	8.717650e-05
1.751552670262754e+00	4.132481e+00	8.675187e-05
1.756435482762754e+00	4.136707e+00	8.632931e-05
1.761318295262754e+00	4.140912e+00	8.590880e-05
1.766201107762754e+00	4.145096e+00	8.549035e-05
1.771083920262754e+00	4.149261e+00	8.507393e-05
1.775966732762754e+00	4.153405e+00	8.465954e-05
1.780849545262754e+00	4.157528e+00	8.424717e-05
1.785732357762754e+00	4.161632e+00	8.383681e-05
1.790615170262754e+00	4.165716e+00	8.342845e-05
1.795497982762754e+00	4.169779e+00	8.302207e-05
1.800380795262754e+00	4.173823e+00	8.261768e-05
1.805263607762754e+00	4.177847e+00	8.221526e-05
1.810146420262754e+00	4.181852e+00	8.181480e-05
1.815029232762754e+00	4.185837e+00	8.141628e-05
1.819912045262754e+00	4.189803e+00	8.101971e-05
1.824794857762754e+00	4.193749e+00	8.062507e-05
1.829677670262754e+00	4.197677e+00	8.023235e-05
1.834560482762754e+00	4.201584e+00	7.984154e-05
1.839443295262754e+00	4.205473e+00	7.945264e-05
1.844326107762754e+00	4.209343e+00	7.906563e-05
1.849208920262754e+00	4.213195e+00	7.868051e-05
1.854091732762754e+00	4.217027e+00	7.829726e-05
1.858974545262754e+00	4.220841e+00	7.791589e-05
1.863857357762754e+00	4.224637e+00	7.753637e-05
1.868740170262754e+00	4.228413e+00	7.715869e-05
1.873622982762754e+00	4.232172e+00	7.678286e-05
1.878505795262754e+00	4.235911e+00	7.640885e-05
1.883388607762754e+00	4.239633e+00	7.603667e-05
1.888271420262754e+00	4.243337e+00	7.566631e-05
1.893154232762754e+00	4.247023e+00	7.529774e-05
1.898037045262754e+00	4.250690e+00	7.493097e-05
1.902919857762754e+00	4.254340e+00	7.456599e-05
1.907802670262754e+00	4.257972e+00	7.420278e-05
1.912685482762754e+00	4.261587e+00	7.384134e-05
1.917568295262754e+00	4.265183e+00	7.348167e-05
1.922451107762754e+00	4.268763e+00	7.312375e-05
1.927333920262754e+00	4.272324e+00	7.276757e-05
1.932216732762754e+00	4.275869e+00	7.241312e-05
1.937099545262754e+00	4.279396e+00	7.206041e-05
1.941982357762754e+00	4.282906e+00	7.170940e-05
1.946865170262754e+00	4.286399e+00	7.136011e-05
1.951747982762754e+00	4.289875e+00	7.101252e-05
1.956630795262754e+00	4.293334e+00	7.066663e-05
1.961513607762754e+00	4.296776e+00	7.032241e-05
1.966396420262754e+00	4.300201e+00	6.997988e-05
1.971279232762754e+00	4.303610e+00	6.963901e-05
1.976162045262754e+00	4.307002e+00	6.929981e-05
1.981044857762754e+00	4.310378e+00	6.896225e-05
1.985927670262754e+00	4.313736e+00	6.862634e-05
1.990810482762754e+00	4.317079e+00	6.829207e-05
1.995693295262754e+00	4.320406e+00	6.795942e-05
2.000576107762754e+00	4.323716e+00	6.762840e-05
2.005458920262754e+00	4.327010e+00	6.729899e-05
2.010341732762754e+00	4.330288e+00	6.697118e-05
2.015224545262754e+00	4.333550e+00	6.664497e-05
2.020107357762754e+00	4.336797e+00	6.632035e-05
2.024990170262754e+00	4.340027e+00	6.599731e-05
2.029872982762754e+00	4.343242e+00	6.567583e-05
2.034755795262754e+00	4.346441e+00	6.535593e-05
2.039638607762754e+00	4.349624e+00	6.503760e-05
2.044521420262754e+00	4.352792e+00	6.472080e-05
2.049404232762754e+00	4.355945e+00	6.440555e-05
2.054287045262754e+00	4.359082e+00	6.409184e-05
2.059169857762754e+00	4.362204e+00	6.377965e-05
2.064052670262754e+00	4.365310e+00	6.346899e-05
2.068935482762754e+00	4.368402e+00	6.315983e-05
2.073818295262754e+00	4.371478e+00	6.285218e-05
2.078701107762754e+00	4.374540e+00	6.254604e-05
2.083583920262754e+00	4.377586e+00	6.224138e-05
2.088466732762754e+00	4.380618e+00	6.193820e-05
2.093349545262754e+00	4.383635e+00	6.163651e-05
2.098232357762754e+00	4.386637e+00	6.133629e-05
2.103115170262754e+00	4.389625e+00	6.103752e-05
2.107997982762754e+00	4.392598e+00	6.074021e-05
2.112880795262754e+00	4.395556e+00	6.044435e-05
2.117763607762754e+00	4.398501e+00	6.014993e-05
2.122646420262754e+00	4.401431e+00	5.985695e-05
2.127529232762754e+00	4.404346e+00	5.956539e-05
2.132412045262754e+00	4.407248e+00	5.927525e-05
2.137294857762754e+00	4.410135e+00	5.898652e-05
2.142177670262754e+00	4.413008e+00	5.869921e-05
2.147060482762754e+00	4.415867e+00	5.841329e-05
2.151943295262754e+00	4.418713e+00	5.812876e-05
2.156826107762754e+00	4.421544e+00	5.784562e-05
2.161708920262754e+00	4.424361e+00	5.756386e-05
2.166591732762754e+00	4.427166e+00	5.728347e-05
2.171474545262754e+00	4.429955e+00	5.700445e-05
2.176357357762754e+00	4.432732e+00	5.672678e-05
2.181240170262754e+00	4.435495e+00	5.645047e-05
2.186122982762754e+00	4.438245e+00	5.617550e-05
2.191005795262754e+00	4.440981e+00	5.590188e-05
2.195888607762754e+00	4.443704e+00	5.562958e-05
2.200771420262754e+00	4.446414e+00	5.535862e-05
2.205654232762754e+00	4.449111e+00	5.508897e-05
2.210537045262754e+00	4.451794e+00	5.482063e-05
2.215419857762754e+00	4.454464e+00	5.455361e-05
2.220302670262754e+00	4.457121e+00	5.428788e-05
2.225185482762754e+00	4.459765e+00	5.402345e-05
2.230068295262754e+00	4.462397e+00	5.376030e-05
2.234951107762754e+00	4.465015e+00	5.349844e-05
2.239833920262754e+00	4.467621e+00	5.323786e-05
2.244716732762754e+00	4.470215e+00	5.297854e-05
2.249599545262754e+00	4.472795e+00	5.272049e-05
2.254482357762754e+00	4.475363e+00	5.246369e-05
2.259365170262754e+00	4.477919e+00	5.220814e-05
2.264247982762754e+00	4.480462e+00	5.195384e-05
2.269130795262754e+00	4.482992e+00	5.170078e-05
2.274013607762754e+00	4.485510e+00	5.144895e-05
2.278896420262754e+00	4.488017e+00	5.119834e-05
2.283779232762754e+00	4.490510e+00	5.094896e-05
2.288662045262754e+00	4.492992e+00	5.070079e-05
2.293544857762754e+00	4.495461e+00	5.045383e-05
2.298427670262754e+00	4.497919e+00	5.020808e-05
2.303310482762754e+00	4.500365e+00	4.996352e-05
2.308193295262754e+00	4.502799e+00	4.972015e-05
2.313076107762754e+00	4.505220e+00	4.947796e-05
2.317958920262754e+00	4.507630e+00	4.923696e-05
2.322841732762754e+00	4.510029e+00	4.899713e-05
2.327724545262754e+00	4.512415e+00	4.875847e-05
2.332607357762754e+00	4.514790e+00	4.852097e-05
2.337490170262754e+00	4.517154e+00	4.828463e-05
2.342372982762754e+00	4.519506e+00	4.804944e-05
2.347255795262754e+00	4.521846e+00	4.781540e-05
2.352138607762754e+00	4.524175e+00	4.758249e-05
2.357021420262754e+00	4.526493e+00	4.735072e-05
2.361904232762754e+00	4.528799e+00	4.712008e-05
2.366787045262754e+00	4.531095e+00	4.689056e-05
2.371669857762754e+00	4.533379e+00	4.666216e-05
2.376552670262754e+00	4.535651e+00	4.643487e-05
2.381435482762754e+00	4.537913e+00	4.620869e-05
2.386318295262754e+00	4.540164e+00	4.598361e-05
2.391201107762754e+00	4.542404e+00	4.575963e-05
2.396083920262754e+00	4.544632e+00	4.553674e-05
2.400966732762754e+00	4.546851e+00	4.531493e-05
